ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,21,23970.225601210044,0.1234489154722369,1,1337,5740,1503,5906
1,32,20519.926796313146,0.16905216846680143,1,196,20499,2501,22804
2,18,29493.42868017796,0.0666964220445321,1,208,22376,1502,23670
3,22,24177.48327479851,0.06604546985264459,1,991,6983,1596,7588
4,31,31630.978641161364,0.023339144561040588,1,256,5364,1375,6483
5,32,21840.386166605815,0.3207732217454762,0,34,0,0,-34
6,66,28169.401491581928,0.08680405444921455,0,22,0,0,-22
7,50,24493.817753074312,0.02239351655933849,1,332,22524,1372,23564
8,47,38185.95744802034,0.11912067939122727,1,1233,8235,1576,8578
9,40,21809.329934382728,0.21422300159546012,1,198,7715,1947,9464
10,37,23540.086228218628,0.22387734682920768,0,20,0,0,-20
11,48,20447.679134655624,0.0226626533007369,0,19,0,0,-19
12,65,30731.24772905059,0.004766019269043985,1,373,5390,2890,7907
13,35,21463.195076386633,0.02263465487363104,1,82,6170,2069,8157
14,31,36833.18682505954,0.12927020799060332,0,98,0,0,-98
15,30,40208.4932441007,0.22307383413192733,0,31,0,0,-31
16,22,20295.061171579706,0.0325387033108839,1,2910,8067,1537,6694
17,18,20267.898744036193,0.2817164198959191,0,95,0,0,-95
18,19,43516.084993340504,0.04264035104285221,1,56,8865,1378,10187
19,45,22631.877671253354,0.03135175127044758,0,72,0,0,-72
20,62,28424.15439798449,0.1370421528770164,0,35,0,0,-35
21,21,24821.962816822932,0.05103545646115763,1,23,8469,1334,9780
22,43,30428.77041303864,0.13767037355191916,1,276,18307,1806,19837
23,28,20783.927499801157,0.09217054401114169,0,14,0,0,-14
24,69,41778.16925805502,0.03665940378541617,1,272,8074,3855,11657
25,62,22991.153357667612,0.21115895885776306,0,67,0,0,-67
26,42,22801.448927970123,0.002367100000395433,1,165,7086,1509,8430
27,36,28107.074069924205,0.40063461635516,0,0,0,0,0
28,24,41948.46873022632,0.05880038189015876,1,1591,12284,1400,12093
29,60,21555.28785388272,0.050979081981335536,1,85,8666,1881,10462
30,48,23312.346034128146,0.09310304851890418,1,1664,19897,1375,19608
31,57,31713.81489536438,0.034928819835088006,0,81,0,0,-81
32,53,34801.01093760776,0.3374350752025104,1,249,17058,1438,18247
33,37,21806.162628119975,0.42132122949490014,1,1962,8511,1794,8343
