ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,32,20662.05207914436,0.20370968896300976,0,95,0,0,-95
1,20,25261.597706704328,0.11847752085439776,1,288,6523,2125,8360
2,22,21151.68737369883,0.31582816179205225,1,548,12135,1542,13129
3,57,23726.4131049298,0.22692078563384693,1,149,15027,1531,16409
4,41,95766.37532015934,0.011427621560125643,1,100,11528,1720,13148
5,36,24037.826412480208,0.3220570292219085,0,64,0,0,-64
6,18,26265.28720886587,0.17021056988336433,0,0,0,0,0
7,20,24520.640237892138,0.003801145663925146,1,79,16651,2565,19137
8,60,29270.608915241533,0.03390033859661563,1,1093,9370,1999,10276
9,47,33673.77633173392,0.03146754988766648,1,152,14656,2355,16859
10,22,28777.373207875444,0.012602016381298943,1,192,5890,1592,7290
11,28,27348.618675118014,0.06984049577379185,0,9,0,0,-9
12,62,20115.7066786905,0.09134715808605512,0,68,0,0,-68
13,49,20091.76533729312,0.08131041614753717,0,36,0,0,-36
14,28,20216.081301803737,0.08306626999910044,1,259,27054,4137,30932
15,20,27972.804804626863,0.10393959081681962,1,1364,5727,1624,5987
16,18,34848.10083869348,0.011418662022297136,1,1457,5252,2542,6337
17,39,22580.6414074567,0.09523894316985608,0,96,0,0,-96
18,64,70217.93373975981,0.10533408642148127,1,38,6603,1590,8155
19,19,24138.594103548057,0.07144901631725666,1,732,7466,1603,8337
20,23,25884.164538564863,0.23802066339073355,1,134,13939,1500,15305
21,27,29375.275641166296,0.46620315278396884,0,8,0,0,-8
22,42,23241.342597281433,0.41738697526348234,1,657,7167,1463,7973
23,37,31594.828169205215,0.16803828311977348,1,627,42420,1886,43679
24,26,85361.7453802178,0.3948777521723889,0,1,0,0,-1
25,46,31069.532461521954,0.1246858127108469,1,1026,11884,3120,13978
26,31,28995.927731681462,0.15476399253459974,1,1943,10229,1492,9778
27,24,21790.354144508605,0.22295993467587083,1,323,5438,1651,6766
28,52,25283.75418688312,0.3137593649987252,1,508,6897,1663,8052
29,24,30272.801219361423,0.10401556327100701,0,4,0,0,-4
30,65,44004.83105865176,0.22749297467272908,1,309,7583,1517,8791
31,21,30076.43861902066,0.08179419054895114,0,6,0,0,-6
32,31,20998.280924109382,0.3003501024832307,1,29,6188,1512,7671
33,29,20342.900821584462,0.17206286780658697,1,86,5251,1493,6658
34,18,22331.996139241877,0.07011708376753685,1,441,11215,2669,13443
35,20,20802.25371619918,0.13600662030312793,1,1500,7435,1915,7850
36,54,24363.216128291064,0.03204202351488626,1,440,13823,1489,14872
37,19,42439.79211725744,0.17538763746988748,1,71,8373,1470,9772
38,75,26368.09547417753,0.3257929533208031,1,509,6907,2927,9325
39,23,26360.215312259155,0.007746719710961011,1,112,30660,1653,32201
40,19,24899.801254694597,0.3261292756981743,0,66,0,0,-66
41,21,22764.03670826785,0.11576193066812718,1,1238,5349,1545,5656
42,38,20299.194256292994,0.034480146053047125,1,342,6742,7811,14211
43,54,23215.408237874602,0.01960465018045343,0,148,0,0,-148
44,19,23437.08836293759,0.010226413970594659,1,798,9155,1719,10076
45,34,22963.32680902366,0.05424077170796072,1,1562,8499,1763,8700
46,36,62089.79796897184,0.22748356765692934,1,159,7653,1527,9021
47,48,25867.92291561675,0.3475053778979109,0,68,0,0,-68
48,31,23831.132609081757,0.11627084901874843,1,77,9287,2171,11381
49,35,120278.53795969638,0.05869561514132975,1,420,11231,1458,12269
50,23,43762.93506565738,0.22427125005749338,0,10,0,0,-10
51,39,23170.97627786471,0.029477433691310527,1,1361,9674,1475,9788
52,71,26623.761504788155,0.11521782887079185,0,143,0,0,-143
53,62,35873.138159147755,0.07575313178957145,1,1881,9060,2965,10144
54,24,28861.00879761803,0.2550064351762259,0,52,0,0,-52
55,27,26063.564456725253,0.2859241392811796,1,332,6250,3566,9484
56,27,27696.367238360875,0.0074690967886236305,1,742,5821,2127,7206
57,20,21691.073981855196,0.003769803077370286,0,9,0,0,-9
58,21,23806.18204474436,0.22409534732136704,0,51,0,0,-51
59,51,24067.78364554252,0.0008730694074905025,1,23,6860,1655,8492
60,32,25533.864316974847,0.07114327944136441,1,145,11010,2935,13800
61,74,44658.970812354724,0.23697683716824727,1,189,7274,2787,9872
62,31,30481.40517808929,0.3543348358471835,1,953,7038,1571,7656
63,26,32019.902762313202,0.10238727425521235,0,6,0,0,-6
64,35,23271.662653194388,0.024938573841963504,1,433,14295,1953,15815
65,38,21378.2439667333,0.09380635851254833,1,94,15079,1691,16676
66,68,39545.50810120186,0.30113677880073886,1,514,5754,3096,8336
67,20,31726.337971057175,0.11033082411004619,0,23,0,0,-23
68,75,38855.52529947737,0.07230921854824195,1,221,9481,1797,11057
69,22,29115.39549958385,0.20689569206413622,1,335,5321,2128,7114
70,61,22194.439240016956,0.028084749228403507,1,158,12625,1517,13984
71,42,46634.09268319303,0.044005100030441516,1,1029,8370,1494,8835
72,18,22797.62174153309,0.026706282555841798,1,206,5322,3259,8375
73,45,29501.5672822055,0.05120098938058834,0,18,0,0,-18
74,54,30092.09905742103,0.04082895923142745,0,26,0,0,-26
75,38,31584.608998704447,0.1724145844574863,1,151,15669,2478,17996
76,72,25069.21017499308,0.0787414807477703,1,336,9558,1470,10692
77,43,24364.544903128524,0.3918925931664286,1,131,9057,1862,10788
78,63,20830.296513726913,0.20417819375904048,1,234,6241,1607,7614
79,52,30070.871490474812,0.01128514603091361,1,496,8814,1824,10142
80,21,20708.7496500697,0.07741235328334008,1,55,5287,2118,7350
81,44,34965.951479438,0.21894322148865175,1,335,6317,2466,8448
82,22,20245.152916044477,0.2123351152330938,1,164,6736,1706,8278
83,20,23223.1221375349,0.09872425070890349,1,291,6193,3025,8927
84,51,48577.92106303161,0.24256501218193247,1,123,5301,2233,7411
85,19,24451.044354632882,0.27400119192540795,1,402,21839,1710,23147
86,20,64021.08485250592,0.1483581880433822,1,117,11765,1465,13113
87,21,26971.679655625023,0.04558800761537233,1,1180,5720,2935,7475
88,20,49966.727332294846,0.002017974652091566,0,95,0,0,-95
89,42,25519.94486625968,0.04054225988846061,1,207,11007,5675,16475
